Year,Month,Country,Institute,Longitude,Latitude,Journal,Title,Species,Functional group,Category
2006,July,Singapore,National University of Singapore,103.7764,1.2966,Marine Pollution Bulletin,Prevalence of microplastics in Singapore's coastal marine Environment,none,Water,Environment
2008,July,United Kingdom,University of Plymouth,-4.1395,50.3762,Environmental Science and Technology,"Ingested microscopic plastic translocates to the circulatory system of the mussel, Mytilus edulis (L.)",,Invert,Organism
2009,July,Japan,Tokyo University of Agriculture and Technology,139.4839,35.6835,Philosophical Transactions of the Royal Society B- Biological Sciences,Transport and release of chemicals from plastics to the Environment and to wildlife,none,Chemical,Chemical
2009,August,New Zealand,University of Auckland,174.7691,-36.8523,Marine Pollution Bulletin,Contributing to marine pollution by washing your face: Microplastics in facial cleansers,none,Multiple Environments,Environment
2009,July,United Kingdom,British Atlantic Survey,0.08055556,52.2125,Philosophical Transactions of the Royal Society B- Biological Sciences,Accumulation and fragmentation of plastic debris in global Environments,none,Multiple Environments,Environment
2010,August,United States of America,Our Lady Lake University,-98.5434,29.4264,Abstracts of Papers of the American Chemical Society,Analysis of microplastics in Corpus Christi's marine Environment,none,Multiple Environments,Environment
2010,November,Portugal,Universidade Nova de Lisboa,-9.1603,38.7337,Marine Pollution Bulletin,Organic pollutants in microplastics from two beaches of the Portuguese coast,none,Sediment,Environment
2010,May,Australia,University of Sydney,151.1873,-33.8886,Environmental Science and Technology,Spatial Patterns of Plastic Debris along Estuarine Shorelines,none,Sediment,Environment
2010,September,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Environmental Monitoring and Assessment,On the importance of size of plastic fragments and pellets on the strandline: a snapshot of a Brazilian beach,none,Sediment,Environment
2011,March,United Kingdom,University of Sheffield,-1.4879,53.3809,Marine Technology Society Journal,Interactions Between Microorganisms and Marine Microplastics: A Call for Research,Multiple,Review,Review
2011,August,United States of America,North Carolina State University,-78.6821,35.7847,Marine Pollution Bulletin,Microplastics in the marine Environment,none,Multiple Environments,Environment
2011,August,Germany,University Osnabruck,8.0448,52.2711,Marine Pollution Bulletin,Microplastics in oceans,none,Review,Review
2011,October,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,Occurrence and distribution of microplastics in marine sediments along the Belgian coast,none,Sediment,Environment
2011,December,Portugal,Universidade Nova de Lisboa,-9.1603,38.7337,Marine Pollution Bulletin,Plastic marine debris on the Portuguese coastline: A matter of size?,none,Sediment,Environment
2011,December,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Marine Pollution Bulletin,Microplastics as contaminants in the marine Environment: A review,none,Review,Review
2011,February,United Kingdom,Unilever,-0.104671,51.511654,Environmental Science and Technology,A Thermodynamic Approach for Assessing the Environmental Exposure of Chemicals Absorbed to Microplastic,none,Chemical,Chemical
2011,July,Brazil,Universidade Federal do Rio de Janeiro,-43.1754,-22.9541,Estuaries and Coasts,Plastic Pollution at a Sea Turtle Conservation Area in NE Brazil: Contrasting Developed and Undeveloped Beaches,none,Sediment,Environment
2011,August,United States of America,University of Hawaii,-157.8171,21.2969,Marine Pollution Bulletin,Small plastic debris changes water movement and heat transfer through beach sediments,none,Sediment,Environment
2011,November,Ireland,University College Dublin,-6.2241,53.3082,Environmental Science and Technology,Accumulation of Microplastic on Shorelines Woldwide: Sources and Sinks,none,Sediment,Environment
2012,February,United Kingdom,University of Sheffield,-1.4879,53.3809,Science of the Total Environment,The applicability of reflectance micro-Fourier-transform infrared spectroscopy for the detection of synthetic microplastics in marine sediments,none,Review,Review
2012,March,Chile,Universidad Catolica del Norte,-70.41,-23.681,Environmental Science and Technology,Microplastics in the Marine Environment: A Review of the Methods Used for Identification and Quantification,none,Review,Review
2017,July,United Kingdom,Plymouth Marine Lab,-4.1478,50.3661,Environmental Pollution,Microplastic ingestion in fish larvae in the western English Channel,Multiple,Multiple Animals,Organism
2012,July,Germany,Carl von Ossietzky Universitat Oldenburg,8.176,53.142,Bulletin of Environmental Contamination and Toxicology,Microplastics in Beaches of the East Frisian Islands Spiekeroog and Kachelotplate,none,Sediment,Environment
2012,July,Germany,University of Munich,11.5748,48.1505,Limnology and Oceanography,"A novel, highly efficient method for the separation and quantification of plastic particles in sediments of aquatic Environments",none,Sediment,Environment
2012,September,United States of America,Smithsonian Tropical Research Institute,-82.254,9.351,Marine Pollution Bulletin,Boring crustaceans damage polystyrene floats under docks polluting marine waters with microplastic,,Invert,Organism
2012,October,Switzerland,University of Geneva,6.1451,46.1994,Environmental Science and Technology,Uptake and Effects of Microplastics on Cells and Tissue of the Blue Mussel Mytilus edulis L. after an Experimental Exposure,,Invert,Organism
2012,November,Italy,University of Siena,11.333,43.3192,Marine Pollution Bulletin,Are baleen whales exposed to the threat of microplastics? A case study of the Mediterranean fin whale (Balaenoptera physalus),,Large vert,Organism
2012,December,United Kingdom,University of Plymouth,-4.1395,50.3762,Marine Pollution Bulletin,Competitive sorption of persistent organic pollutants onto microplastics in the marine Environment,none,Chemical,Chemical
2011,June,United States of America,University of Hawaii,-157.8171,21.2969,Marine Pollution Bulletin,Pathways of marine debris derived from trajectories of Lagrangian drifters,none,Model,Environment
2012,April,Netherlands,University of Amsterdam,4.9557,52.3558,Reviews of Environmental Contamination and Toxicology,Plastics in the Marine Environment: The Dark Side of a Modern Gift,none,Review,Review
2012,June,Brazil,Universidade de Sao Paulo,-46.7308,-23.5614,Marine Pollution Bulletin,Plastic pellets as oviposition site and means of dispersal for the ocean-skater insect Halobates,,Invert,Organism
2012,October,Greece,University of Patras,21.7854,38.2892,Marine Environmental Research,Surface properties of beached plastic pellets,none,Chemical,Chemical
2012,October,United States of America,University of California San Diego,-117.1611,32.7157,Biology Letters,Increased oceanic microplastic debris enhances oviposition in an endemic pelagic insect,,Invert,Organism
2012,November,Netherlands,Wageningen University,5.6658,51.9846,Environmental Toxicology and Chemistry,Effects of nanopolystyrene on the feeding behavior of the blue mussel (Mytilus edulis L.),,Invert,Organism
2013,January,Netherlands,Wageningen University,5.6658,51.9846,Environmental Science and Technology,Effects of Microplastic on Fitness and PCB Bioaccumulation by the Lugworm Arenicola marina (L.),,Invert,Organism
2013,August,Germany,University Osnabruck,8.0448,52.2711,Environmental Science,Identification of polymer types and additives in marinemicroplastic particles using pyrolysis-GC/MS and scanning electron microscopy,none,Chemical,Chemical
2013,February,Germany,Carl von Ossietzky Universitat Oldenburg,8.176,53.142,Water Air and Soil Pollution,"Suspended Microplastics and Black Carbon Particles in the Jade System, Southern North Sea",none,Water,Environment
2013,February,United Kingdom,University of Plymouth,-4.1395,50.3762,Marine Pollution Bulletin,Occurrence of microplastics in the gastrointestinal tract of pelagic and demersal fish from the English Channel,Multiple,Multiple Animals,Organism
2013,April,United States of America,Our Lady Lake University,-98.5434,29.4264,Abstracts of Papers of the American Chemical Society,Analyzing microplastics in a marine Environment using FTIR,none,Chemical,Chemical
2013,May,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,New techniques for the detection of microplastics in sediments and field collected organisms,none,Chemical,Chemical
2012,April,Belgium,University of Liege,5.5591,50.5831,Marine Pollution Bulletin,Neustonic microplastic and zooplankton in the North Western Mediterranean Sea,none,Water,Environment
2013,July,United Kingdom,University of Exeter,-3.5351,50.7371,Environmental Pollution,The physical impacts of microplastics on marine organisms: A review,none,Review,Review
2013,August,Belgium,Ghent University,3.7279,51.0466,Marine Pollution Bulletin,Assessment of marine debris on the Belgian Continental Shelf,none,Water,Environment
2013,September,France,The Institut français de recherche pour l'exploitation de la mer ,-4.5588,48.3592,Journal of Marine Science,Marine litter within the European Marine Strategy Framework Directive,none,Policy,Policy
2013,September,Italy,Consiglio Nazionale delle Ricerche,12.48333,41.9,Estuarine Coastal and Shelf Science,"Microplastic particles in sediments of Lagoon of Venice, Italy: First observations on occurrence, spatial patterns and identification",none,Sediment,Environment
2013,October,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Environmental Science and Technology,Size-Dependent Effects of Micro Polystyrene Particles in the Marine Copepod Tigriopus japonicus,,Zooplank,Organism
2013,October,Brazil,Universidade Federal de Pernambuco,-34.9507,-8.0518,Marine Pollution Bulletin,Pelagic microplastics around an archipelago of the Equatorial Atlantic,none,Water,Environment
2013,November,Portugal,Universidade do Porto,-8.6157,41.1465,Ecological Indicators,"Single and combined effects of microplastics and pyrene on juveniles (0+group) of the common goby Pomatoschistus microps (Teleostei, Gobiidae)",,Small vert,Organism
2013,November,Belgium,Ghent University,3.7279,51.0466,Environmental Pollution,Microplastic pollution in deep-sea sediments,none,Sediment,Environment
2013,November,United States of America,University of California San Diego,-117.1611,32.7157,Plos One,Scales of Spatial Heterogeneity of Plastic Marine Debris in the Northeast Pacific Ocean,none,Water,Environment
2013,November,Australia,University of Western Australia,115.8179,-31.9801,Plos One,"Marine Plastic Pollution in Waters around Australia: Characteristics, Concentrations, and Pathways",none,Water,Environment
2013,December,South Korea,Korea Institute of Ocean Science and Technology,127.363,36.372,Marine Pollution Bulletin,Relationships among the abundances of plastic debris in different size classes on beaches in South Korea,none,Sediment,Environment
2013,December,India,National Aquatic Resources Res. & Dev. Agency,79.8612,6.9271,Marine Pollution Bulletin,"Quantitative analysis of plastic debris on recreational beaches in Mumbai, India",none,Sediment,Environment
