Country,Year,Level,Type
Denmark,1993,levy,plastic bags
Bhutan,1999,ban,plastic bags
Bangladesh,2002,ban,plastic bags
Ireland,2002,levy,plastic bags
Taiwan,2002,levy,plastic bags
South Africa,2004,levy,plastic bags
Botswana,2005,levy,plastic bags
Eritrea,2005,ban,plastic bags
Belgium,2007,levy,plastic bags
China,2008,levy,plastic bags
Rwanda,2008,ban,plastic bags
Saint Lucia,2008,levy,SUPs
Malta,2009,levy,plastic bags
Romania,2009,levy,plastic bags
Gabon,2010,ban,plastic bags
Zimbabwe,2010,ban,plastic bags
Afghanistan,2011,ban,plastic bags
Czech Republic,2011,levy,plastic bags
Italy,2011,ban,plastic bags
Myanmar,2011,ban,plastic bags
Republic of the Congo,2011,ban,plastic bags
Bulgaria,2012,levy,plastic bags
Haiti,2012,ban,plastic bags
Hungary,2012,levy,plastic bags
Mali,2012,ban,plastic bags
Serbia,2012,levy,plastic bags
Vietnam,2012,levy,plastic bags
Ivory Coast,2013,ban,plastic bags
Mauritania,2013,ban,plastic bags
Niger,2013,ban,plastic bags
Macedonia,2013,levy,plastic bags
Pakistan,2013,ban,plastic bags
Tonga,2013,levy,plastic bags
Cameroon,2014,ban,plastic bags
Guyana,2014,ban,SUPs
Austria,2015,voluntary ban,microbead
Burkina Faso,2015,ban,plastic bags
Gambia,2015,ban,plastic bags
Hong Kong S.A.R.,2015,levy,plastic bags
Madagascar,2015,ban,plastic bags
Malawi,2015,ban,plastic bags
Portugal,2015,levy,plastic bags
United Kingdom,2015,levy,plastic bags
United States of America,2015,ban,microbead
Australia,2016,voluntary ban,microbead
Djibouti,2016,ban,plastic bags
Estonia,2016,levy,plastic bags
Finland,2016,voluntary levy,plastic bags
France,2016,ban,plastic bags
Germany,2016,voluntary levy,plastic bags
Guinea Bissau,2016,ban,plastic bags
Maldives,2016,ban,plastic bags
Mauritius,2016,ban,plastic bags
Monaco,2016,ban,plastic bags
Morocco,2016,ban,plastic bags
Mozambique,2016,levy,plastic bags
Nepal,2016,ban,plastic bags
Netherlands,2016,ban,microbead
Netherlands,2016,levy,plastic bags
Puerto Rico,2016,ban,plastic bags
Senegal,2016,ban,plastic bags
Switzerland,2016,voluntary levy,plastic bags
Andorra,2017,ban,plastic bags
Antigua and Barbuda,2017,ban,plastic bags
Benin,2017,ban,plastic bags
Cambodia,2017,levy,plastic bags
Cape Verde,2017,ban,plastic bags
Colombia,2017,ban,plastic bags
Estonia,2017,ban,plastic bags
Fiji,2017,levy,plastic bags
Georgia,2017,ban,plastic bags
Israel,2017,levy,plastic bags
Kenya,2017,ban,plastic bags
Malaysia,2017,ban,plastic bags
Marshall Islands,2017,ban,plastic bags
Norway,2017,voluntary levy,plastic bags
Palau,2017,ban,plastic bags
Seychelles,2017,ban,SUPs
Seychelles,2017,ban,plastic bags
Slovakia,2017,levy,plastic bags
Sri Lanka,2017,ban,plastic bags
Tunisia,2017,ban,plastic bags
Albania,2018,ban,plastic bags
Bosnia and Herzegovina,2018,levy,plastic bags
Botswana,2018,ban,plastic bags
Canada,2018,ban,microbead
Cyprus,2018,levy,plastic bags
Democratic Republic of the Congo,2018,ban,plastic bags
France,2018,ban,microbead
Greece,2018,levy,plastic bags
Lithuania,2018,levy,plastic bags
Luxembourg,2018,levy,plastic bags
New Zealand,2018,ban,microbead
Poland,2018,levy,plastic bags
South Korea,2018,ban,plastic bags
Moldova,2018,ban,plastic bags
Romania,2018,ban,plastic bags
Somalia,2018,ban,plastic bags
Spain,2018,levy,plastic bags
Sudan,2018,ban,plastic bags
Sweden,2018,ban,microbead
Sweden,2018,levy,plastic bags
Taiwan,2018,ban,microbead
Togo,2018,ban,plastic bags
Uganda,2018,ban,plastic bags
United Kingdom,2018,ban,microbead
Vanuatu,2018,ban,plastic bags
Zambia,2018,ban,plastic bags
Bahrain,2019,ban,plastic bags
Barbados,2019,ban,SUPs
Belgium,2019,voluntary ban,microbead
Brunei,2019,voluntary ban,plastic bags
Burundi,2019,ban,plastic bags
Chile,2019,ban,plastic bags
Croatia,2019,levy,plastic bags
Dominica,2019,ban,plastic bags
Grenada,2019,ban,SUPs
Iceland,2019,levy,plastic bags
Jamaica,2019,ban,SUPs
Jamaica,2019,ban,plastic bags
Latvia,2019,levy,plastic bags
Mongolia,2019,ban,plastic bags
Namibia,2019,levy,plastic bags
New Zealand,2019,ban,plastic bags
Nigeria,2019,ban,plastic bags
Peru,2019,levy,plastic bags
Samoa,2019,ban,plastic bags
Slovenia,2019,levy,plastic bags
Tanzania,2019,ban,plastic bags
Thailand,2019,voluntary ban,plastic bags
Turkey,2019,levy,plastic bags
Tuvalu,2019,ban,plastic bags
Uruguay,2019,ban,plastic bags
Uzbekistan,2019,levy,plastic bags
Vatican City,2019,ban,plastic bags
Armenia,2020,levy,plastic bags
Austria,2020,ban,plastic bags
The Bahamas,2020,levy,plastic bags
Belize,2020,ban,plastic bags
Belize,2020,ban,SUPs
Fiji,2020,ban,plastic bags
France,2020,ban,SUPs
Germany,2020,ban,plastic bags
India,2020,ban,microbead
Ireland,2020,ban,microbead
Italy,2020,ban,microbead
Panama,2020,ban,plastic bags
Papua New Guinea,2020,ban,plastic bags
Rwanda,2020,ban,SUPs
Taiwan,2020,levy,SUPs
Canada,2021,ban,SUPs
Costa Rica,2021,ban,SUPs
Spain,2021,ban,plastic bags
Thailand,2021,ban,plastic bags
China,2022,ban,plastic bags
